"file","out","warnings","errors"
"adr-manager.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\adr-manager.md","Body missing leading '# Title' - adding from name",""
"analyse-repo-deepwiki.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\analyse-repo-deepwiki.md","",""
"argus-tracker.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\argus-tracker.md","Body missing leading '# Title' - adding from name",""
"base243.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\base243.md","Body missing leading '# Title' - adding from name",""
"boinc-p2p.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\boinc-p2p.md","Body missing leading '# Title' - adding from name",""
"claude-optimizer.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\claude-optimizer.md","Body missing leading '# Title' - adding from name",""
"comet-browser.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\comet-browser.md","Body missing leading '# Title' - adding from name",""
"data-vector.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\data-vector.md","Body missing leading '# Title' - adding from name",""
"deepwiki_repo_enricher.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\deepwiki_repo_enricher.md","Missing frontmatter; creating placeholder; Body missing leading '# Title' - adding from name",""
"devtools-core.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\devtools-core.md","Body missing leading '# Title' - adding from name",""
"diagram-infographic.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\diagram-infographic.md","Body missing leading '# Title' - adding from name",""
"diagram-infra.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\diagram-infra.md","Body missing leading '# Title' - adding from name",""
"diagram-mermaid.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\diagram-mermaid.md","Body missing leading '# Title' - adding from name",""
"diagram-uml.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\diagram-uml.md","Body missing leading '# Title' - adding from name",""
"diagram-vega.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\diagram-vega.md","Body missing leading '# Title' - adding from name",""
"ecos-vision.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\ecos-vision.md","Body missing leading '# Title' - adding from name",""
"ecosystem-self.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\ecosystem-self.md","Body missing leading '# Title' - adding from name",""
"fermi-legacy.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\fermi-legacy.md","",""
"github-config.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\github-config.md","Body missing leading '# Title' - adding from name",""
"governance-formal.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\governance-formal.md","Body missing leading '# Title' - adding from name",""
"hitl-hub.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\hitl-hub.md","Body missing leading '# Title' - adding from name",""
"hitl-ops.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\hitl-ops.md","",""
"ide-tools.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\ide-tools.md","Body missing leading '# Title' - adding from name",""
"intent-bridge.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\intent-bridge.md","Body missing leading '# Title' - adding from name",""
"iot-diagram.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\iot-diagram.md","Body missing leading '# Title' - adding from name",""
"kiva-pipeline.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\kiva-pipeline.md","Body missing leading '# Title' - adding from name",""
"lecun-prd.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\lecun-prd.md","Body missing leading '# Title' - adding from name",""
"lecun-vision.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\lecun-vision.md","Body missing leading '# Title' - adding from name",""
"local-recovery.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\local-recovery.md","Body missing leading '# Title' - adding from name",""
"media-culture.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\media-culture.md","",""
"multi-repo-syncer.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\multi-repo-syncer.md","Body missing leading '# Title' - adding from name",""
"new-pillars.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\new-pillars.md","",""
"nexus-auditor.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-auditor.md","Body missing leading '# Title' - adding from name",""
"nexus-compliance.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-compliance.md","Body missing leading '# Title' - adding from name",""
"nexus-core.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-core.md","Body missing leading '# Title' - adding from name",""
"nexus-deps.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-deps.md","Body missing leading '# Title' - adding from name",""
"nexus-map.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-map.md","",""
"nexus-monitor.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-monitor.md","Body missing leading '# Title' - adding from name",""
"nexus-prd.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-prd.md","Body missing leading '# Title' - adding from name",""
"nexus-reformer.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-reformer.md","Body missing leading '# Title' - adding from name",""
"nexus-registry-sync.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-registry-sync.md","Body missing leading '# Title' - adding from name",""
"nexus-registry-view.md","D:\DO\WEB\TOOLS\L4-TOOLS\SKILLS\perplexity\build\perplexity_canonical\nexus-registry-view.md","Body missing leading '# Title' - adding from name",""
